freq,unit,s_adj,indic,nace_r2,geo\TIME_PERIOD	1980-Q1 	1980-Q2 	1980-Q3 	1980-Q4 	1981-Q1 	1981-Q2 	1981-Q3 	1981-Q4 	1982-Q1 	1982-Q2 	1982-Q3 	1982-Q4 	1983-Q1 	1983-Q2 	1983-Q3 	1983-Q4 	1984-Q1 	1984-Q2 	1984-Q3 	1984-Q4 	1985-Q1 	1985-Q2 	1985-Q3 	1985-Q4 	1986-Q1 	1986-Q2 	1986-Q3 	1986-Q4 	1987-Q1 	1987-Q2 	1987-Q3 	1987-Q4 	1988-Q1 	1988-Q2 	1988-Q3 	1988-Q4 	1989-Q1 	1989-Q2 	1989-Q3 	1989-Q4 	1990-Q1 	1990-Q2 	1990-Q3 	1990-Q4 	1991-Q1 	1991-Q2 	1991-Q3 	1991-Q4 	1992-Q1 	1992-Q2 	1992-Q3 	1992-Q4 	1993-Q1 	1993-Q2 	1993-Q3 	1993-Q4 	1994-Q1 	1994-Q2 	1994-Q3 	1994-Q4 	1995-Q1 	1995-Q2 	1995-Q3 	1995-Q4 	1996-Q1 	1996-Q2 	1996-Q3 	1996-Q4 	1997-Q1 	1997-Q2 	1997-Q3 	1997-Q4 	1998-Q1 	1998-Q2 	1998-Q3 	1998-Q4 	1999-Q1 	1999-Q2 	1999-Q3 	1999-Q4 	2000-Q1 	2000-Q2 	2000-Q3 	2000-Q4 	2001-Q1 	2001-Q2 	2001-Q3 	2001-Q4 	2002-Q1 	2002-Q2 	2002-Q3 	2002-Q4 	2003-Q1 	2003-Q2 	2003-Q3 	2003-Q4 	2004-Q1 	2004-Q2 	2004-Q3 	2004-Q4 	2005-Q1 	2005-Q2 	2005-Q3 	2005-Q4 	2006-Q1 	2006-Q2 	2006-Q3 	2006-Q4 	2007-Q1 	2007-Q2 	2007-Q3 	2007-Q4 	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 	2020-Q3 	2020-Q4 	2021-Q1 	2021-Q2 	2021-Q3 	2021-Q4 	2022-Q1 	2022-Q2 	2022-Q3 	2022-Q4 	2023-Q1 
Q,I2015,NSA,IS-EPI,F,AL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	67.8 	68.4 	65.1 	64.2 	67.3 	67.7 	64.9 	64.9 	66.3 	64.7 	60.5 	64.6 	87.4 	85.2 	81.2 	82.5 	93.6 	93.0 	88.9 	82.7 	90.4 	88.9 	87.0 	79.2 	81.2 	79.6 	77.9 	76.3 	87.3 	85.3 	79.0 	73.6 	80.2 	75.7 	74.8 	75.5 	87.6 	87.7 	89.9 	93.8 	96.8 	100.3 	97.7 	105.3 	104.4 	104.6 	107.1 	108.7 	107.5 	108.6 	109.9 	110.7 	113.3 	114.6 	112.3 	113.8 	116.4 	116.7 	116.2 	114.0 	117.4 	118.9 	119.9 	119.4 	123.7 	123.8 	122.6 	121.6 	129.5 	126.3 	127.0 	124.4 	: 
Q,I2015,NSA,IS-EPI,F,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	84.5 	105.4 	109.8 	105.0 	87.3 	103.2 	107.8 	102.6 	95.7 	111.8 	116.1 	110.3 	91.3 	108.3 	110.9 	104.8 	89.9 	106.1 	109.3 	104.2 	85.9 	100.4 	103.6 	98.1 	82.4 	96.7 	100.0 	95.3 	84.8 	101.4 	104.7 	99.5 	83.9 	100.5 	104.4 	98.9 	81.1 	99.8 	103.4 	98.8 	80.6 	100.1 	105.0 	99.8 	86.3 	101.3 	105.1 	100.0 	87.4 	100.0 	103.4 	98.3 	88.3 	103.1 	107.2 	101.7 	87.3 	102.6 	106.0 	100.3 	89.9 	104.3 	108.0 	102.9 	90.9 	106.3 	110.0 	104.9 	90.5 	106.5 	109.9 	104.9 	90.7 	104.6 	107.6 	102.8 	88.9 	103.2 	106.4 	101.5 	89.1 	103.1 	106.0 	103.0 	92.1 	106.4 	109.3 	104.8 	96.2 	110.6 	114.1 	109.9 	103.6 	115.9 	118.7 	114.7 	105.7 	116.0 	121.5 	116.9 	110.8 	122.6 	124.7 	119.9 	115.5 	125.0 	126.5 	121.7 	113.6 p
Q,I2015,NSA,IS-EPI,F,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	79.5 	80.2 	81.4 	82.2 	82.7 	83.2 	83.6 	83.2 	83.5 	83.2 	83.4 	82.8 	91.6 	87.5 	86.8 	85.9 	85.7 	86.1 	86.3 	86.1 	86.5 	87.1 	88.5 	88.5 	89.7 	90.7 	91.9 	92.8 	93.9 	94.7 	96.0 	96.7 	98.5 	98.3 	99.0 	98.5 	98.2 	98.4 	98.9 	98.6 	98.8 	99.4 	100.2 	100.7 	101.3 	101.7 	102.6 	103.0 	102.9 	103.1 	103.4 	103.0 	102.7 	102.3 	102.2 	100.9 	100.8 	100.6 	100.7 	100.2 	99.9 	100.0 	100.1 	100.1 	100.8 	101.3 	101.7 	101.8 	103.2 	103.8 	103.7 	103.9 	105.7 	105.9 	106.3 	107.6 	108.7 	109.1 	109.6 	109.2 	108.4 	107.4 	108.1 	108.2 	109.1 	113.0 	113.9 	114.3 	115.8 p	116.1 p	116.3 p	115.7 p	: c
Q,I2015,NSA,IS-EPI,F,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	75.0 	74.7 	74.9 	70.7 	66.6 	75.2 	73.7 	68.4 	69.1 	70.7 	73.3 	72.6 	69.9 	75.7 	84.1 	83.0 	81.8 	89.5 	96.3 	94.3 	100.5 	106.2 	115.4 	112.7 	115.5 	123.2 	132.7 	129.7 	134.7 	139.8 	141.0 	139.9 	173.4 	170.0 	188.3 	184.5 	171.9 	165.8 	156.6 	147.6 	131.8 	127.7 	124.2 	113.7 	113.9 	112.9 	111.5 	103.1 	102.5 	104.3 	102.8 	98.0 	98.5 	99.0 	98.5 	95.4 	100.4 	103.1 	104.1 	99.8 	99.4 	101.8 	101.8 	97.0 	95.3 	95.9 	96.9 	95.3 	97.1 	100.2 	100.9 	99.7 	96.6 	100.5 	101.9 	101.9 	101.2 	102.9 	103.9 	104.9 	99.1 	101.2 	102.5 	103.3 	94.5 p	94.9 p	92.8 p	91.9 p	92.0 p	90.9 p	89.1 p	88.9 p	: 
Q,I2015,NSA,IS-EPI,F,CH	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	83.3 e	86.6 e	87.2 e	81.3 e	81.3 e	85.2 e	85.5 e	82.3 e	83.2 e	85.0 e	86.8 e	83.1 e	83.5 e	87.2 e	88.1 e	83.1 e	83.5 e	86.5 e	87.9 e	84.4 e	83.7 e	86.8 e	87.4 e	85.1 e	84.1 e	85.5 e	88.1 e	85.3 e	83.6 e	87.6 e	89.8 e	86.9 e	85.8 e	89.2 e	91.3 e	88.9 e	89.1 e	91.8 e	94.0 e	92.8 e	92.2 e	93.5 e	95.0 e	91.6 e	91.2 e	93.2 e	95.3 e	92.8 e	92.7 e	95.3 e	96.8 e	94.9 e	93.7 e	95.8 e	97.6 e	95.4 e	95.2 e	97.4 e	99.8 e	97.1 e	96.7 e	99.3 e	101.0 e	98.4 e	98.1 e	100.7 e	101.5 e	98.5 e	98.7 e	100.6 e	101.7 e	99.1 e	98.1 e	100.9 e	101.0 e	99.0 e	98.6 e	101.0 e	101.7 e	100.3 e	100.1 e	102.3 e	103.4 e	100.5 e	101.1 e	103.6 e	104.8 e	103.3 e	102.3 e	103.8 e	104.5 e	102.1 e	101.4 e	103.2 e	105.8 e	103.9 e	104.5 e	105.3 e	106.8 e	106.5 e	106.1 e
Q,I2015,NSA,IS-EPI,F,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	109.7 	108.7 	108.8 	114.6 	114.5 	113.4 	113.6 	119.6 	120.1 	118.9 	119.2 	125.4 	132.0 	130.8 	131.0 	137.9 	140.1 	138.4 	138.6 	145.5 	148.9 	147.5 	148.0 	152.3 	153.7 	156.0 	156.7 	162.8 	166.0 	167.7 	169.8 	176.1 	185.0 	192.4 	192.0 	190.3 	188.7 	184.3 	180.8 	178.6 	176.5 	177.5 	174.6 	172.3 	169.0 	167.6 	162.2 	158.7 	150.3 	146.0 	134.1 	131.4 	122.5 	113.4 	105.5 	105.3 	101.7 	101.3 	99.6 	99.3 	98.0 	99.5 	100.2 	102.2 	104.1 	106.3 	108.7 	112.9 	118.9 	122.7 	123.3 	132.0 	134.9 	138.5 	142.8 	150.1 	148.5 	153.6 	156.0 	162.3 	158.6 	161.2 	161.4 	163.0 	160.5 	163.8 	166.0 	167.4 	169.1 	168.1 	168.3 	168.7 	: 
Q,I2015,NSA,IS-EPI,F,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	103.8 	107.2 	108.1 	106.8 	102.0 	105.6 	107.4 	106.9 	98.8 	101.7 	103.4 	102.9 	99.2 	102.7 	104.5 	104.1 	100.7 	105.7 	107.0 	105.3 	101.5 	105.7 	107.1 	106.5 	103.5 	107.8 	109.5 	108.8 	105.9 	108.7 	110.1 	109.8 	107.1 	110.4 	111.1 	110.2 	105.7 	107.6 	109.1 	106.8 	105.1 	108.7 	110.4 	108.8 	102.0 	107.1 	107.7 	106.3 	101.6 	106.3 	107.1 	105.1 	97.4 	100.1 	101.7 	100.3 	95.4 	98.7 	99.7 	99.0 	98.2 	101.1 	101.4 	99.4 	94.6 	98.1 	98.6 	97.9 	95.8 	98.7 	100.5 	99.6 	97.4 	100.6 	100.9 	101.0 	98.8 	102.4 	102.9 	102.9 	100.6 	101.9 	103.3 	103.5 	97.5 	98.7 	98.1 	97.8 	95.6 	97.2 	96.9 	97.2 	: 
Q,I2015,NSA,IS-EPI,F,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	129.8 	131.6 	131.8 	128.2 	119.6 	120.5 	121.3 	117.7 	110.3 	111.5 	111.8 	108.1 	99.5 	102.0 	102.9 	99.4 	92.3 	94.7 	95.6 	92.9 	85.7 	88.8 	90.1 	88.3 	83.1 	88.7 	91.6 	90.2 	87.4 	89.9 	91.9 	90.1 	88.2 	90.5 	92.6 	90.4 	88.8 	91.7 	93.8 	91.9 	89.5 	92.7 	96.8 	94.7 	93.1 	97.2 	99.4 	97.0 	94.8 	98.3 	100.0 	97.6 	95.4 	99.1 	101.7 	98.8 	97.7 	100.5 	102.3 	100.1 	98.1 	100.2 	102.5 	99.2 	99.2 	101.4 	103.9 	101.2 	101.8 	103.7 	105.9 	103.3 	103.5 	105.8 	108.1 	105.7 	106.1 	107.4 	109.8 	107.4 	107.8 	108.4 	111.0 	109.1 	109.6 	110.5 	112.3 	110.4 	110.7 	111.4 	113.3 p	111.0 p	110.9 p
Q,I2015,NSA,IS-EPI,F,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	130.6 	132.6 	132.9 	129.7 	118.1 	116.3 	117.3 	113.2 	98.6 	105.6 	109.6 	108.2 	98.9 	105.4 	109.9 	110.3 	102.0 	105.5 	108.6 	108.0 	91.0 	93.6 	96.7 	96.0 	93.1 	95.9 	98.8 	99.3 	96.1 	98.9 	102.0 	103.1 	100.0 	103.0 	105.8 	106.7 	104.2 	106.8 	109.6 	110.7 	108.7 	111.2 	113.9 	114.4 	112.0 	113.7 	115.3 	115.7 	115.6 	115.5 	118.9 	120.7 	119.2 	122.1 	124.5 	125.7 	124.6 p	126.7 p	128.0 p	127.7 p	: 
